coordenadas,Record Count
"25.67394875, -100.3486523",1
"25.71673858, -100.3472145",1
"25.6798008, -100.2913635",1
"25.72278499, -100.3356931",1
"25.69491845, -100.354615",1
"25.71088743, -100.3651375",1
"25.67089563, -100.2851452",1
"25.75898452, -100.3592711",1
"25.76165489, -100.3829839",1
"25.7150599, -100.308231",1
"25.68229731, -100.3299464",1
"25.66561012, -100.3122588",1
"25.66380505, -100.3070391",1
"25.67015077, -100.3361314",1
"25.75625992, -100.3749206",1
"25.7710869, -100.37009",1
"25.69935815, -100.3197581",1
"25.68658912, -100.3207037",1
"25.72407672, -100.364478",1
"25.70361061, -100.2813229",1
"25.69631192, -100.2897961",1
"25.68608606, -100.333307",1
"25.70914997, -100.3602432",1
"25.6927862, -100.3041941",1
"25.77646852, -100.38679",1
"25.6929509, -100.3226131",1
"25.67907788, -100.3168669",1
"25.73554412, -100.3494353",1
"25.6744048, -100.2982942",1
"25.727158, -100.3882953",1
"25.65771998, -100.3098807",1
"25.7073451, -100.3679581",1
"25.6944919, -100.3370476",1
"25.691685, -100.311284",1
"25.68480469, -100.2977243",1
"25.68213979, -100.2971124",1
"25.72159273, -100.3905818",1
"25.70784225, -100.3728048",1
"25.69250329, -100.3534474",1
"25.72253686, -100.3742545",1
"25.75786562, -100.357076",1
"25.74800174, -100.4263257",1
"25.68133606, -100.2971879",1
"25.68671755, -100.3216738",1
"25.68456015, -100.3190198",1
"25.6642084, -100.3139498",1
"25.76309084, -100.4127183",1
"25.70764911, -100.3303379",1
"25.72901162, -100.3205122",1
"25.7634144, -100.3801137",1
"25.73356419, -100.3329214",1
"25.68237342, -100.3222119",1
"25.68620832, -100.3178171",1
"25.56631814, -100.2392865",1
"25.660157, -100.283989",1
"25.76608926, -100.3965582",1
"25.71278588, -100.3476431",1
"25.69165215, -100.3440859",1
"25.70073435, -100.3101394",1
"25.7245925, -100.3909462",1
"25.673602, -100.314784",1
"25.73588018, -100.3652984",1
"25.74174929, -100.4113203",1
"25.62650018, -100.2937352",1
"25.76392317, -100.3713898",1
"25.743904, -100.3633849",1
"25.662697, -100.322186",1
"25.6864721, -100.3284195",1
"25.6468304, -100.297354",1
"25.73300212, -100.3818349",1
"25.67142522, -100.3188992",1
"25.75483894, -100.4040338",1
"25.6370802, -100.2909939",1
"25.67662629, -100.3182219",1
"25.67142785, -100.3198471",1
"25.57490528, -100.2368066",1
"25.67079762, -100.3090801",1
"25.69700163, -100.3552538",1
